version,request,address,name,via,count,before_values,after_values,pcs
2.06,CW0600,0x00B,INTCON,direct,3,0x14 0x94 0xD4,0x14 0x94 0xD4,0x01FE 0x01FF 0x021F
2.06,CW0600,0x00C,PIR1,direct,1,0x5B,0x59,0x01B6
2.06,CW0600,0x020,RAM_0x020,direct,1,0x08,0x02,0x0009
2.06,CW0600,0x021,RAM_0x021,direct,1,0xB3,0x91,0x0007
2.06,CW0600,0x024,RAM_0x024,direct,1,0x30,0x00,0x0010
2.06,CW0600,0x031,RAM_0x031,direct,1,0xD2,0xD3,0x01A7
2.06,CW0600,0x056,RAM_0x056,direct,1,0x80,0xA0,0x028F
2.06,CW0600,0x07F,RAM_0x07F,direct,2,0x90 0xC0,0x0C 0xC0,0x0004 0x0039
2.06,CW0600,0x0D7,RAM_0x0D7,direct,9,0x00 0x01 0x02 0x04 0x08 0x10 0x20 0x40 0x80,0x00 0x01 0x02 0x04 0x08 0x10 0x20 0x40 0x80,0x0206 0x021B
2.06,CW0700,0x003,STATUS,alu-flag,38,0x00 0x04 0x18 0x1C 0x1D 0x1E 0x1F 0x38 0x39 0x3B,0x00 0x04 0x18 0x19 0x1B 0x1C 0x1D 0x1E 0x1F 0x39 0x3C 0x3D 0x3F,0x0006 0x0008 0x000A 0x000B 0x000D 0x0011 0x0013 0x0029 0x002B 0x002F 0x0031 0x0035 0x0203 0x0207 0x020E 0x0218 0x021B 0x021F 0x02B4 0x0F93 0x0F94
2.06,CW0700,0x003,STATUS,direct,48,0x00 0x18 0x19 0x1B 0x1F 0x38 0x3B 0x3C 0x3D 0x3F,0x00 0x18 0x19 0x1B 0x1C 0x1D 0x1F 0x38 0x39 0x3B 0x3F,0x0006 0x0038 0x0205 0x020A 0x020D 0x0211 0x0213 0x0214 0x0219 0x021A 0x021E 0x0292 0x029F 0x02A2 0x02AF 0x02B3 0x02B5 0x02B7 0x02B9 0x109F
2.06,CW0700,0x004,FSR,direct,2,0x8C 0xA8,0x8C 0xA8,0x001E 0x002A
2.06,CW0700,0x007,PORTC,direct,2,0x04 0x24,0x04 0x24,0x020B 0x0212
2.06,CW0700,0x008,PORTD,direct,24,0x00 0x04 0x20 0x24 0x40 0x44 0x60 0x64 0x80 0x84 0xA0 0xA4 0xC0 0xC4 0xE0 0xE4,0x00 0x04 0x20 0x24 0x40 0x44 0x60 0x64 0x80 0x84 0xA0 0xA4 0xC0 0xC4 0xE0 0xE4,0x0215 0x0216 0x0218
2.06,CW0700,0x00A,PCLATH,direct,10,0x00 0x02 0x0A 0x12 0x1A,0x00 0x02 0x0A 0x12 0x1A,0x000A 0x0036 0x0F97 0x0F99 0x0F9B 0x0F9D 0x109A 0x109B 0x109D 0x109E
2.06,CW0700,0x00B,INTCON,direct,3,0x14 0x94 0xD4,0x14 0x94 0xD4,0x01FE 0x01FF 0x021F
2.06,CW0700,0x00C,PIR1,direct,1,0x5B,0x59,0x01B6
2.06,CW0700,0x020,RAM_0x020,direct,1,0x08,0x02,0x0009
2.06,CW0700,0x021,RAM_0x021,direct,1,0xB3,0x91,0x0007
2.06,CW0700,0x024,RAM_0x024,direct,1,0x30,0x00,0x0010
2.06,CW0700,0x031,RAM_0x031,direct,1,0xD2,0xD3,0x01A7
2.06,CW0700,0x07F,RAM_0x07F,direct,2,0x90 0xC0,0x0C 0xC0,0x0004 0x0039
2.06,CW0700,0x0D7,RAM_0x0D7,direct,9,0x00 0x01 0x02 0x04 0x08 0x10 0x20 0x40 0x80,0x00 0x01 0x02 0x04 0x08 0x10 0x20 0x40 0x80,0x0206 0x021B
2.06,CW0832,0x003,STATUS,direct,3,0x18 0x38,0x18 0x38,0x10A1 0x10A3 0x10A5
2.06,CW0832,0x029,RAM_0x029,direct,1,0x19,0x32,0x10A4
2.06,CW0940,0x003,STATUS,alu-flag,157,0x00 0x04 0x18 0x1C 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F,0x00 0x04 0x18 0x1C 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F,0x0006 0x0008 0x000A 0x000B 0x000D 0x000F 0x0013 0x0029 0x002B 0x002D 0x0031 0x0035 0x03ED 0x03EE 0x03F1 0x03F2 0x03F5 0x03F8 0x03F9 0x03FA 0x04D9 0x04E0 0x04E1 0x04E3 0x04E4 0x04E7 0x04E8 0x04EB 0x04EC 0x04F2 0x0534 0x0536 0x053D 0x0540 0x0542 0x0543 0x0549 0x10A8 0x10A9 0x10AB 0x10AD 0x10AF 0x10B6 0x10B9 0x10BB 0x10BD
2.06,CW0940,0x003,STATUS,direct,21,0x00 0x18 0x1A 0x1B 0x1C 0x1E 0x38 0x3B 0x3C 0x3D 0x3E,0x00 0x18 0x1B 0x1C 0x1E 0x38 0x3A 0x3B 0x3C 0x3D 0x3E,0x0006 0x0038 0x03E9 0x03FD 0x04D5 0x04F7 0x0533 0x053B 0x053E 0x054A 0x0553 0x0555 0x0559 0x055A 0x10A7 0x10B3 0x10B7 0x10C0 0x10C3
2.06,CW0940,0x004,FSR,direct,4,0x8C 0xA8,0x8C 0xA8,0x001E 0x002A
2.06,CW0940,0x00A,PCLATH,direct,8,0x00 0x02 0x12,0x00 0x02 0x12,0x000A 0x0036 0x10B2 0x10B5 0x10BF 0x10C2
2.06,CW0940,0x00C,PIR1,direct,2,0x5B,0x59,0x01B6
2.06,CW0940,0x020,RAM_0x020,direct,1,0x08,0x02,0x0009
2.06,CW0940,0x021,RAM_0x021,direct,2,0xB3 0xD3,0x83 0xD3,0x0007
2.06,CW0940,0x023,RAM_0x023,direct,1,0x00,0x01,0x000E
2.06,CW0940,0x024,RAM_0x024,direct,2,0x09 0x30,0x00 0x09,0x0010
2.06,CW0940,0x025,RAM_0x025,direct,2,0x24 0x80,0x00 0x80,0x0012
2.06,CW0940,0x031,RAM_0x031,direct,2,0xD2 0xD3,0xD3 0xD4,0x01A7
2.06,CW0940,0x033,RAM_0x033,direct,1,0x57,0x40,0x0556
2.06,CW0940,0x077,RAM_0x077,direct,12,0x00 0x01 0x03 0x06 0x0C 0x18,0x00 0x01 0x03 0x06 0x0C 0x18,0x03F2 0x03F8 0x04E1 0x04EC
2.06,CW0940,0x078,RAM_0x078,direct,21,0x00 0x01 0x02 0x04 0x08 0x09 0x10 0x12 0x20 0x22 0x24 0x40 0x44 0x48 0x88 0x91,0x00 0x01 0x02 0x04 0x08 0x09 0x10 0x12 0x20 0x22 0x24 0x40 0x44 0x48 0x88 0x91,0x03FA 0x04F2
2.06,CW0940,0x079,RAM_0x079,direct,14,0x00 0x01 0x02 0x04 0x06 0x09 0x0C 0x12 0x18 0x24 0x30 0x60 0x80 0xC0,0x00 0x01 0x02 0x04 0x06 0x09 0x0C 0x12 0x18 0x30 0x60 0x80 0xC0,0x03F9 0x04D2
2.06,CW0940,0x07F,RAM_0x07F,direct,3,0x00 0x50 0xE9,0x00 0x9E 0xE9,0x0004 0x0039
2.06,CW0940,0x0CE,RAM_0x0CE,direct,1,0x98,0x40,0x10AA
2.06,CW0940,0x0CF,RAM_0x0CF,direct,1,0x99,0x00,0x10A8
2.06,CW0940,0x0D0,RAM_0x0D0,direct,1,0x40,0x00,0x10BA
2.06,CW0940,0x0D1,RAM_0x0D1,direct,1,0x34,0x06,0x10B8
2.06,CW0940,0x0D4,RAM_0x0D4,direct,1,0x00,0x40,0x0541
2.06,CW0940,0x0D5,RAM_0x0D5,direct,2,0x00 0x06,0x00 0x06,0x053F 0x10BC
2.06,CW0940,0x0D6,RAM_0x0D6,direct,10,0x00 0x01 0x02 0x04 0x08 0x10 0x20 0x40 0x80,0x00 0x01 0x02 0x04 0x08 0x10 0x20 0x40 0x80,0x03EE 0x0537 0x10AE
