comparison,source_old,source_new,name,occurrence,status,old_va,new_va,old_size,new_size,old_normalized_sha256,new_normalized_sha256
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::bixby110control(),1,changed,0x0040B250,0x0040BB60,6016,6192,628814eef93b5abdcbb91b845fbaf6111701074d8fb543436a3cbead5f62f9e6,d258548cd4621d1c6a2957dda44988359b7e7dfe25044d1b07f32db7ceb98466
5.0.21_to_5.5.00,,Bixby110dlg.cpp,"bixby110control::writeln(void*, char*)",0,added,,0x0040F830,,64,,540e284d78f3f8680248962074b80a33e838918cef7fd3648001daf285acce0c
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::~bixby110control(),0,changed,0x0040C9D0,0x0040D390,4608,4688,ed79e73769969a1f46059c52c019acdfb93f5bb38fd97c420dc682b31ef52cff,c179a91981b42610ba35c6ea3c507403a97556325025619bdf23b86535e23594
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::~bixby110control(),1,changed,0x0040DBD0,0x0040E5E0,4608,4688,ed79e73769969a1f46059c52c019acdfb93f5bb38fd97c420dc682b31ef52cff,c179a91981b42610ba35c6ea3c507403a97556325025619bdf23b86535e23594
5.0.21_to_5.5.00,Bixby110Downloader.cpp,Bixby110Downloader.cpp,bixby110downloader::AttemptStoveReset(),0,same_normalized,0x0041BF40,0x0041EC90,64,64,010bff78b3d85412fb8e711c08e67b56e28161ad12b06ae68ee1595b2b071048,010bff78b3d85412fb8e711c08e67b56e28161ad12b06ae68ee1595b2b071048
5.0.21_to_5.5.00,Bixby110Downloader.cpp,,"bixby110downloader::Bixby110Downloader(HINSTANCE__*, int, char*)",0,removed,0x0041D160,,4640,,98b34829632c7c8f1da2742628e7bbd9a1a522fa7fcd04f06295cab9dbad0e53,
5.0.21_to_5.5.00,,Bixby110Downloader.cpp,"bixby110downloader::Bixby110Downloader(HINSTANCE__*, int, char*, unsigned char)",0,added,,0x0041FEB0,,4928,,a862b1d20ae9884bed0f4fc6b964a6994815deaab0166b9e78b130d76908beb3
5.0.21_to_5.5.00,Bixby110Downloader.cpp,Bixby110Downloader.cpp,bixby110downloader::DownLoad(),0,same_normalized,0x0041CB30,0x0041F880,1280,1280,215882463ae79b117c91d9428f3a5168d0deea97a01145d2af5ff54d46ffa9a2,215882463ae79b117c91d9428f3a5168d0deea97a01145d2af5ff54d46ffa9a2
5.0.21_to_5.5.00,Bixby110Downloader.cpp,Bixby110Downloader.cpp,bixby110downloader::GetStoveVersion(),0,same_normalized,0x0041BD20,0x0041EA70,544,544,83e1b4b3d9928eb70468a73e7058a3cfb38b6313f916c897572884a38b465416,83e1b4b3d9928eb70468a73e7058a3cfb38b6313f916c897572884a38b465416
5.0.21_to_5.5.00,Bixby110Downloader.cpp,Bixby110Downloader.cpp,bixby110downloader::Identify(),0,same_normalized,0x0041D030,0x0041FD80,304,304,83631dbe1d228ebef071e62153444a35b73a276652d0325331b61227ed7ee2ad,83631dbe1d228ebef071e62153444a35b73a276652d0325331b61227ed7ee2ad
5.0.21_to_5.5.00,Bixby110Downloader.cpp,Bixby110Downloader.cpp,bixby110downloader::LoadHex(char*),0,same_normalized,0x0041C4C0,0x0041F210,1648,1648,9f1f110e4a90de5a2818859d0a5a1e1d1c797e7165c4baac5f92e71d3ca117c4,9f1f110e4a90de5a2818859d0a5a1e1d1c797e7165c4baac5f92e71d3ca117c4
5.0.21_to_5.5.00,Bixby110Downloader.cpp,Bixby110Downloader.cpp,bixby110downloader::LoadHex_Close(),0,same_normalized,0x0041C460,0x0041F1B0,96,96,f7f402c7e5e9a70b6f898b47d6a3d846df81289a40b7c0514c53a306cedfc429,f7f402c7e5e9a70b6f898b47d6a3d846df81289a40b7c0514c53a306cedfc429
5.0.21_to_5.5.00,Bixby110Downloader.cpp,Bixby110Downloader.cpp,bixby110downloader::LoadHex_Open(char*),0,same_normalized,0x0041C0E0,0x0041EE30,496,496,fb90cfd07aa4491a7916709c793efb24501e27e750e12b03edccb3b64284b7c5,fb90cfd07aa4491a7916709c793efb24501e27e750e12b03edccb3b64284b7c5
5.0.21_to_5.5.00,Bixby110Downloader.cpp,Bixby110Downloader.cpp,bixby110downloader::LoadHex_Read(),0,same_normalized,0x0041C2D0,0x0041F020,400,400,3e072fa192a4ee3fdb66ebbb779f178b97a29c3fcfbbd8767980e132a8048f8c,3e072fa192a4ee3fdb66ebbb779f178b97a29c3fcfbbd8767980e132a8048f8c
