word_address,word,mnemonic,operands,decode_status
0x01AE,0x0837,movf,"0x37, W",instruction
0x01AF,0x00B8,movwf,0x38,instruction
0x01B0,0x29B6,goto,0x1B6,instruction
0x01B1,0x08B8,movf,"0x38, F",instruction
0x01B2,0x1D03,btfss,"0x03, 2",instruction
0x01B3,0x0BB8,decfsz,"0x38, F",instruction
0x01B4,0x29B6,goto,0x1B6,instruction
0x01B5,0x1586,bsf,"0x06, 3",instruction
0x01B6,0x108C,bcf,"0x0C, 1",instruction
0x01B7,0x118A,bcf,"0x0A, 3",instruction
0x01B8,0x120A,bcf,"0x0A, 4",instruction
0x01B9,0x2829,goto,0x029,instruction
0x01BA,0x0064,clrwdt,,instruction
0x01BB,0x3001,movlw,0x01,instruction
0x01BC,0x00F5,movwf,0x75,instruction
0x01BD,0x130B,bcf,"0x0B, 6",instruction
0x01BE,0x138B,bcf,"0x0B, 7",instruction
0x01BF,0x1B8B,btfsc,"0x0B, 7",instruction
0x01C0,0x29BE,goto,0x1BE,instruction
0x01C1,0x301F,movlw,0x1F,instruction
0x01C2,0x0588,andwf,"0x08, F",instruction
0x01C3,0x08F5,movf,"0x75, F",instruction
0x01C4,0x1903,btfsc,"0x03, 2",instruction
0x01C5,0x29D3,goto,0x1D3,instruction
0x01C6,0x1687,bsf,"0x07, 5",instruction
0x01C7,0x0848,movf,"0x48, W",instruction
0x01C8,0x0575,andwf,"0x75, W",instruction
0x01C9,0x1903,btfsc,"0x03, 2",instruction
0x01CA,0x29CC,goto,0x1CC,instruction
0x01CB,0x1287,bcf,"0x07, 5",instruction
0x01CC,0x1107,bcf,"0x07, 2",instruction
0x01CD,0x1507,bsf,"0x07, 2",instruction
0x01CE,0x3020,movlw,0x20,instruction
0x01CF,0x0788,addwf,"0x08, F",instruction
0x01D0,0x1003,bcf,"0x03, 0",instruction
0x01D1,0x0DF5,rlf,"0x75, F",instruction
0x01D2,0x29C3,goto,0x1C3,instruction
0x01D3,0x30C0,movlw,0xC0,instruction
0x01D4,0x048B,iorwf,"0x0B, F",instruction
0x01D5,0x3400,retlw,0x00,instruction
0x01D6,0x3007,movlw,0x07,instruction
0x01D7,0x00AD,movwf,0x2D,instruction
0x01D8,0x0185,clrf,0x05,instruction
0x01D9,0x0186,clrf,0x06,instruction
0x01DA,0x0187,clrf,0x07,instruction
0x01DB,0x3004,movlw,0x04,instruction
0x01DC,0x0089,movwf,0x09,instruction
0x01DD,0x01C8,clrf,0x48,instruction
0x01DE,0x21BA,call,0x1BA,instruction
0x01DF,0x01C9,clrf,0x49,instruction
0x01E0,0x01BB,clrf,0x3B,instruction
0x01E1,0x01BC,clrf,0x3C,instruction
0x01E2,0x01D5,clrf,0x55,instruction
0x01E3,0x01D4,clrf,0x54,instruction
0x01E4,0x01CB,clrf,0x4B,instruction
0x01E5,0x01CA,clrf,0x4A,instruction
0x01E6,0x01DD,clrf,0x5D,instruction
0x01E7,0x01D3,clrf,0x53,instruction
0x01E8,0x0853,movf,"0x53, W",instruction
0x01E9,0x00D2,movwf,0x52,instruction
0x01EA,0x01D1,clrf,0x51,instruction
0x01EB,0x01D7,clrf,0x57,instruction
0x01EC,0x01B0,clrf,0x30,instruction
0x01ED,0x30DC,movlw,0xDC,instruction
0x01EE,0x00DA,movwf,0x5A,instruction
0x01EF,0x0064,clrwdt,,instruction
0x01F0,0x3053,movlw,0x53,instruction
0x01F1,0x00F7,movwf,0x77,instruction
0x01F2,0x0BF7,decfsz,"0x77, F",instruction
0x01F3,0x29F2,goto,0x1F2,instruction
0x01F4,0x118A,bcf,"0x0A, 3",instruction
0x01F5,0x120A,bcf,"0x0A, 4",instruction
